epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.915,0.83338,1.15291,1.05628,0.95189,0.95201,0.97485,0.76443,0.79376,0.616,0.98116,0.066966,0.000166,0.000166
2,291.654,0.74035,0.63273,0.99218,0.95939,0.9591,0.97472,0.78523,0.73112,0.58625,0.93325,0.0337664,0.000299733,0.000299733
3,438.372,0.67478,0.53583,0.97327,0.97868,0.97703,0.98619,0.8306,0.6558,0.4697,0.89454,0.000533799,0.000400465,0.000400465
4,587.503,0.65245,0.4731,0.96604,0.9771,0.97781,0.98765,0.81746,0.68349,0.48045,0.89911,0.0003515,0.0003515,0.0003515
5,740.21,0.62446,0.44669,0.95098,0.97992,0.98764,0.9936,0.85376,0.57574,0.42851,0.85585,0.000302,0.000302,0.000302
6,885.684,0.61014,0.38945,0.94544,0.99378,0.98745,0.99467,0.85608,0.60561,0.39709,0.86973,0.0002525,0.0002525,0.0002525
7,1029.13,0.58084,0.34818,0.93312,0.99373,0.99366,0.99484,0.83046,0.65078,0.39019,0.87988,0.000203,0.000203,0.000203
8,1175.12,0.56546,0.3285,0.93214,0.99471,0.99382,0.99466,0.87157,0.54204,0.35089,0.84275,0.0001535,0.0001535,0.0001535
9,1328.04,0.54659,0.30696,0.92734,0.99509,0.99717,0.9947,0.8771,0.53789,0.3474,0.83992,0.000104,0.000104,0.000104
10,1467.22,0.53726,0.29557,0.92546,0.99373,0.99761,0.99418,0.86559,0.56647,0.3498,0.84831,5.45e-05,5.45e-05,5.45e-05
