epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.474,0.98389,1.60681,1.08542,0.92603,0.83358,0.91406,0.72996,0.79991,1.02514,0.95872,0.066966,0.000166,0.000166
2,365.727,0.82928,0.94971,1.02879,0.95971,0.9597,0.97995,0.84092,0.59682,0.63924,0.87801,0.0337829,0.0003162,0.0003162
3,501.293,0.77112,0.80328,1.01159,0.96217,0.97077,0.97818,0.82034,0.70263,0.5658,0.91847,0.000583233,0.000449899,0.000449899
4,636.684,0.74285,0.72533,1.01241,0.97609,0.96601,0.98199,0.82584,0.63977,0.50685,0.88328,0.00042575,0.00042575,0.00042575
5,775.323,0.71287,0.6907,1.00273,0.98349,0.98068,0.98482,0.83342,0.63711,0.47633,0.87765,0.000401,0.000401,0.000401
6,916.584,0.67618,0.63768,0.9909,0.98421,0.98317,0.98421,0.86113,0.54303,0.41899,0.84141,0.00037625,0.00037625,0.00037625
7,1056.92,0.67971,0.61414,0.99638,0.98134,0.95537,0.99047,0.84846,0.58312,0.44283,0.85563,0.0003515,0.0003515,0.0003515
8,1195.27,0.6588,0.59397,0.99043,0.9856,0.97385,0.99167,0.87565,0.5164,0.38166,0.83556,0.00032675,0.00032675,0.00032675
9,1332.65,0.63496,0.56021,0.9828,0.9909,0.9835,0.99334,0.876,0.51584,0.35707,0.8337,0.000302,0.000302,0.000302
10,1473.65,0.61767,0.54305,0.97443,0.99192,0.9835,0.99414,0.81419,0.69822,0.38081,0.89388,0.00027725,0.00027725,0.00027725
11,1611.01,0.60721,0.42974,0.95449,0.9802,0.99045,0.99325,0.87208,0.53213,0.33495,0.83728,0.0002525,0.0002525,0.0002525
12,1751.05,0.5901,0.37413,0.94331,0.99553,0.995,0.9949,0.87812,0.53687,0.31627,0.83972,0.00022775,0.00022775,0.00022775
13,1887.89,0.5704,0.35294,0.93432,0.98997,0.99272,0.99452,0.88975,0.48861,0.30238,0.82157,0.000203,0.000203,0.000203
14,2025.14,0.55161,0.3214,0.92656,0.9976,0.99537,0.99498,0.88828,0.49052,0.27319,0.81944,0.00017825,0.00017825,0.00017825
15,2166.89,0.54007,0.30144,0.92954,0.99637,0.99716,0.99497,0.85106,0.57042,0.28287,0.84194,0.0001535,0.0001535,0.0001535
16,2302.42,0.52152,0.28922,0.92428,0.99773,0.99468,0.99498,0.88194,0.52402,0.27187,0.8288,0.00012875,0.00012875,0.00012875
17,2448.58,0.50553,0.27597,0.91782,0.99514,0.99825,0.99492,0.89717,0.46823,0.24452,0.80886,0.000104,0.000104,0.000104
18,2607.41,0.51427,0.26805,0.92332,0.99371,0.99435,0.99495,0.88468,0.51411,0.2524,0.82119,7.925e-05,7.925e-05,7.925e-05
19,2754.93,0.50211,0.25783,0.91131,0.99536,0.99349,0.9942,0.89186,0.49172,0.24291,0.81622,5.45e-05,5.45e-05,5.45e-05
20,2897.39,0.48896,0.25132,0.91021,0.9948,0.99719,0.99496,0.90237,0.45686,0.2248,0.80555,2.975e-05,2.975e-05,2.975e-05
