epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.338,0.81877,1.20854,1.05255,0.80327,0.82766,0.91996,0.74255,0.78174,1.0692,0.96956,0.0670987,0.000165333,0.000165333
2,270.2,0.7292,0.60537,0.98745,0.94744,0.94751,0.9813,0.81516,0.67367,0.56371,0.91018,0.0338991,0.000299132,0.000299132
3,406.291,0.66056,0.50875,0.96894,0.98041,0.96902,0.98913,0.82487,0.68682,0.47676,0.90162,0.000666597,0.000399931,0.000399931
4,551.05,0.63713,0.47108,0.96004,0.97722,0.97588,0.98879,0.83568,0.62335,0.41645,0.87029,0.0003515,0.0003515,0.0003515
5,689.824,0.60573,0.41865,0.94483,0.97947,0.98282,0.99318,0.85917,0.59876,0.39689,0.86362,0.000302,0.000302,0.000302
6,842.376,0.59541,0.38032,0.9425,0.98646,0.98058,0.99297,0.86109,0.57561,0.37764,0.85398,0.0002525,0.0002525,0.0002525
7,972.468,0.56003,0.34702,0.92711,0.99124,0.99406,0.99439,0.86521,0.57204,0.33623,0.85389,0.000203,0.000203,0.000203
8,1104.49,0.55474,0.31805,0.93002,0.98894,0.99549,0.99439,0.88459,0.51872,0.31263,0.83344,0.0001535,0.0001535,0.0001535
9,1240.47,0.54154,0.3004,0.92309,0.9974,0.99318,0.99485,0.88954,0.50457,0.29235,0.82684,0.000104,0.000104,0.000104
10,1379.47,0.5201,0.28477,0.92078,0.99419,0.99552,0.99463,0.88405,0.52635,0.29603,0.83247,5.45e-05,5.45e-05,5.45e-05
