epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.258,0.96658,2.82307,1.22362,0.38353,0.146,0.28589,0.18957,0.97347,2.47717,1.10996,0.066966,0.000166,0.000166
2,297.462,0.85391,2.22778,1.09056,0.53441,0.60701,0.58794,0.44645,0.89751,1.93009,1.0289,0.0337664,0.000299733,0.000299733
3,431.547,0.78725,1.7549,1.04827,0.78912,0.7555,0.82382,0.64244,0.83357,1.47534,0.9934,0.000533799,0.000400465,0.000400465
4,566.534,0.75021,1.36218,1.01684,0.9381,0.90352,0.95394,0.75515,0.76265,1.10788,0.95373,0.0003515,0.0003515,0.0003515
5,710.076,0.70999,1.1224,0.98915,0.9501,0.9442,0.9718,0.77909,0.72154,0.962,0.92709,0.000302,0.000302,0.000302
6,843.516,0.67518,0.99488,0.97543,0.95707,0.95597,0.97614,0.79604,0.68505,0.90987,0.91276,0.0002525,0.0002525,0.0002525
7,983.437,0.64959,0.92765,0.96273,0.97703,0.96012,0.97855,0.80226,0.66478,0.8549,0.90112,0.000203,0.000203,0.000203
8,1115.59,0.64135,0.88698,0.96297,0.9731,0.96645,0.97858,0.81545,0.6231,0.82635,0.88498,0.0001535,0.0001535,0.0001535
9,1247.55,0.62122,0.86707,0.95502,0.97518,0.96162,0.98036,0.81524,0.62993,0.81272,0.88669,0.000104,0.000104,0.000104
10,1378.71,0.6248,0.86802,0.954,0.97884,0.97382,0.98026,0.81979,0.62084,0.80342,0.88156,5.45e-05,5.45e-05,5.45e-05
