epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.541,0.9677,2.87196,1.22557,0.00585,1,0.29118,0.19742,0.9444,2.60612,1.09167,0.0670987,0.000165333,0.000165333
2,253.004,0.85055,2.29474,1.09447,0.53163,0.617,0.60301,0.45912,0.90571,1.94667,1.03234,0.0338991,0.000299132,0.000299132
3,380.57,0.7748,1.73966,1.04152,0.78907,0.73146,0.81537,0.62893,0.88665,1.52732,1.03063,0.000666597,0.000399931,0.000399931
4,507.208,0.73835,1.28892,1.01453,0.95163,0.92948,0.96474,0.75745,0.76327,1.04976,0.95167,0.0003515,0.0003515,0.0003515
5,633.547,0.69058,1.02991,0.98184,0.96255,0.96352,0.97527,0.7788,0.73111,0.92979,0.92805,0.000302,0.000302,0.000302
6,765.82,0.65964,0.91186,0.96707,0.96741,0.96575,0.9778,0.79812,0.67901,0.88268,0.90995,0.0002525,0.0002525,0.0002525
7,891.916,0.63375,0.85081,0.9557,0.97983,0.97182,0.97928,0.80801,0.65486,0.83583,0.89492,0.000203,0.000203,0.000203
8,1022.54,0.62737,0.83275,0.95636,0.97641,0.97134,0.97896,0.82077,0.61582,0.8132,0.87925,0.0001535,0.0001535,0.0001535
9,1148.19,0.60086,0.80242,0.94597,0.97751,0.97233,0.98052,0.82241,0.61417,0.79703,0.87784,0.000104,0.000104,0.000104
10,1281.81,0.60674,0.80263,0.94856,0.97911,0.97547,0.98172,0.82653,0.60797,0.78842,0.87448,5.45e-05,5.45e-05,5.45e-05
