epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.704,1.19195,3.06104,1.36178,0.20723,0.24089,0.19783,0.1377,0.9532,2.74729,1.12644,0.066966,0.000166,0.000166
2,274.375,0.99879,2.52482,1.17681,0.37077,0.45955,0.39327,0.30103,0.87847,2.40919,1.03839,0.0337829,0.0003162,0.0003162
3,407.293,0.9423,2.10053,1.11303,0.36567,0.68973,0.54051,0.42185,0.83386,2.08154,0.99806,0.000583233,0.000449899,0.000449899
4,539.773,0.85335,1.83142,1.06293,0.66407,0.7415,0.75969,0.61121,0.74427,1.73108,0.95504,0.00042575,0.00042575,0.00042575
5,674.23,0.80599,1.59619,1.03464,0.88991,0.87059,0.93333,0.77027,0.67287,1.4355,0.91934,0.000401,0.000401,0.000401
6,810.55,0.77753,1.3831,1.01878,0.94653,0.92857,0.96437,0.78582,0.69318,1.27115,0.92378,0.00037625,0.00037625,0.00037625
7,946.729,0.74507,1.25618,1.00762,0.95675,0.94896,0.97202,0.79604,0.68579,1.16928,0.91601,0.0003515,0.0003515,0.0003515
8,1083.95,0.71983,1.13231,1.00173,0.97334,0.96528,0.9766,0.81932,0.61807,1.09571,0.889,0.00032675,0.00032675,0.00032675
9,1222.7,0.71829,1.08407,0.99726,0.97328,0.96194,0.97719,0.82669,0.59528,1.06686,0.87749,0.000302,0.000302,0.000302
10,1364.28,0.69093,1.03992,0.99171,0.98064,0.97185,0.97882,0.82708,0.59967,1.04531,0.87845,0.00027725,0.00027725,0.00027725
11,1504.15,0.65494,1.24929,0.98787,0.97135,0.97331,0.98109,0.83527,0.57221,1.04255,0.86233,0.0002525,0.0002525,0.0002525
12,1643.71,0.62255,1.13729,0.95494,0.97325,0.97237,0.9827,0.84114,0.56125,1.05136,0.85862,0.00022775,0.00022775,0.00022775
13,1783.13,0.60514,1.06246,0.94722,0.98256,0.9753,0.98509,0.84925,0.54591,1.00848,0.84842,0.000203,0.000203,0.000203
14,1923.59,0.59564,1.04565,0.94648,0.98389,0.97872,0.98457,0.84813,0.54888,0.99611,0.84899,0.00017825,0.00017825,0.00017825
15,2062.06,0.58745,0.99679,0.94477,0.9837,0.97904,0.98602,0.85387,0.54075,0.97,0.84545,0.0001535,0.0001535,0.0001535
16,2202.98,0.57346,0.97731,0.94474,0.98379,0.97867,0.98727,0.85515,0.54089,0.95265,0.84481,0.00012875,0.00012875,0.00012875
17,2343.62,0.56545,0.94979,0.93635,0.98055,0.97875,0.98784,0.85859,0.53505,0.93133,0.84149,0.000104,0.000104,0.000104
18,2484.2,0.56063,0.93889,0.93349,0.98306,0.97589,0.9877,0.85905,0.52248,0.92557,0.83779,7.925e-05,7.925e-05,7.925e-05
19,2623.11,0.55661,0.92447,0.92945,0.9858,0.97829,0.98956,0.86173,0.5191,0.9145,0.83735,5.45e-05,5.45e-05,5.45e-05
20,2760.96,0.56927,0.93291,0.93786,0.98446,0.97975,0.99032,0.8631,0.5241,0.91421,0.83802,2.975e-05,2.975e-05,2.975e-05
