epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.892,0.83762,1.1605,1.06058,0.75386,0.81394,0.89186,0.64078,0.99924,1.173,1.11945,0.067264,0.000330667,0.000330667
2,272.648,0.75207,0.60887,0.99743,0.8668,0.88223,0.94742,0.74484,0.76853,0.88428,0.95614,0.0341983,0.000598264,0.000598264
3,407.453,0.69842,0.53651,0.98211,0.96981,0.9625,0.98031,0.78953,0.72675,0.53018,0.92593,0.00106653,0.000799861,0.000799861
4,545.413,0.67041,0.47857,0.97298,0.96766,0.96919,0.9761,0.78839,0.7248,0.56404,0.91033,0.000703,0.000703,0.000703
5,682.162,0.63127,0.45196,0.95274,0.97764,0.96487,0.98235,0.79259,0.73367,0.51319,0.91712,0.000604,0.000604,0.000604
6,819.243,0.61852,0.39968,0.94835,0.97974,0.97677,0.99222,0.84702,0.61428,0.44659,0.86989,0.000505,0.000505,0.000505
7,956.738,0.59099,0.35759,0.93547,0.98366,0.97958,0.99308,0.86043,0.5778,0.43253,0.85882,0.000406,0.000406,0.000406
8,1095.41,0.57557,0.32772,0.93626,0.98373,0.98171,0.98925,0.86312,0.55814,0.39206,0.84704,0.000307,0.000307,0.000307
9,1233.12,0.558,0.30369,0.92854,0.97349,0.98272,0.98669,0.85892,0.56435,0.42581,0.84958,0.000208,0.000208,0.000208
10,1370.27,0.5356,0.28272,0.92654,0.98998,0.9926,0.98948,0.87543,0.52887,0.37428,0.8333,0.000109,0.000109,0.000109
