epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9791,1.07234,2.97535,1.25252,0.01038,1,0.37924,0.25562,0.95088,3.05538,1.05893,0.00015,0.00015,0.00015
2,39.7491,0.86613,2.28975,1.11087,0.01554,1,0.41605,0.28609,0.98056,2.84409,1.11776,0.000281563,0.000281563,0.000281563
3,59.6277,0.86748,1.93265,1.08789,0.93787,0.2037,0.57104,0.39274,1.0065,2.45325,1.09539,0.00038095,0.00038095,0.00038095
4,79.2743,0.8788,1.59282,1.12879,0.86652,0.45571,0.6298,0.42168,1.08068,2.08275,1.18943,0.000448163,0.000448163,0.000448163
5,98.5854,0.84458,1.46678,1.07952,0.68514,0.69145,0.79421,0.57756,0.98434,1.50026,1.08788,0.0004832,0.0004832,0.0004832
6,118.25,0.76007,1.22828,1.06129,0.79693,0.81216,0.87858,0.64578,0.93947,1.21643,1.0619,0.000486063,0.000486063,0.000486063
7,137.833,0.77896,1.12539,1.10663,0.89068,0.88864,0.91931,0.67812,0.92833,1.08183,1.06134,0.00045675,0.00045675,0.00045675
8,157.495,0.79472,1.03605,1.06754,0.91559,0.89022,0.92429,0.69354,0.88389,1.03578,1.02357,0.00038375,0.00038375,0.00038375
9,177.229,0.79512,1.0618,1.04289,0.92563,0.90531,0.934,0.7194,0.86777,1.00197,1.00042,0.00026,0.00026,0.00026
10,200.48,0.76287,1.02198,1.06113,0.92564,0.89852,0.93849,0.72775,0.85977,0.98,0.99595,0.00013625,0.00013625,0.00013625
