epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.67,0.94212,2.76458,1.20141,0.49769,0.31157,0.38242,0.271,0.95999,2.33068,1.09606,0.067132,0.000332,0.000332
2,259.395,0.83107,1.94595,1.0646,0.72491,0.74234,0.78061,0.59879,0.87067,1.52524,1.00755,0.0340661,0.000599465,0.000599465
3,391.322,0.75189,1.34618,1.0192,0.94493,0.93588,0.9647,0.77128,0.74351,0.97683,0.94375,0.000934264,0.000800931,0.000800931
4,522.494,0.69968,0.97723,0.98922,0.95484,0.96573,0.97582,0.79784,0.68854,0.849,0.91439,0.000703,0.000703,0.000703
5,654.995,0.65728,0.85586,0.96414,0.97707,0.9666,0.97978,0.81078,0.6593,0.7664,0.89312,0.000604,0.000604,0.000604
6,788.137,0.63642,0.79337,0.95778,0.97326,0.9717,0.98388,0.81801,0.64078,0.72467,0.88899,0.000505,0.000505,0.000505
7,921.377,0.6077,0.72646,0.94426,0.98075,0.97968,0.98502,0.82709,0.63242,0.68385,0.88286,0.000406,0.000406,0.000406
8,1055.66,0.60067,0.70037,0.94576,0.97892,0.97825,0.98733,0.84564,0.56813,0.65524,0.85758,0.000307,0.000307,0.000307
9,1190.81,0.58212,0.67582,0.93902,0.97963,0.97943,0.98985,0.84353,0.58365,0.6441,0.86379,0.000208,0.000208,0.000208
10,1331.6,0.57321,0.67558,0.93637,0.97963,0.98215,0.99029,0.85043,0.56226,0.63151,0.85473,0.000109,0.000109,0.000109
