epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.982,0.99421,1.528,1.08959,0.75968,0.76486,0.86772,0.68538,0.76954,1.61941,0.9679,0.067132,0.000332,0.000332
2,265.088,0.84806,0.96643,1.03052,0.94854,0.95968,0.97394,0.78817,0.718,0.60535,0.95252,0.0340991,0.000632399,0.000632399
3,399.693,0.79708,0.8102,1.02767,0.97129,0.97062,0.9751,0.82078,0.66773,0.50648,0.88775,0.00103313,0.000899799,0.000899799
4,534.604,0.7346,0.73101,1.01144,0.96114,0.95106,0.9862,0.85098,0.58935,0.5129,0.86486,0.0008515,0.0008515,0.0008515
5,672.251,0.73704,0.698,1.0099,0.97903,0.97144,0.97999,0.82689,0.62934,0.46942,0.88983,0.000802,0.000802,0.000802
6,809.015,0.71895,0.64548,1.00386,0.97098,0.97316,0.99158,0.86822,0.54148,0.42058,0.84322,0.0007525,0.0007525,0.0007525
7,944.647,0.68683,0.622,0.99238,0.97886,0.98,0.99089,0.85721,0.58843,0.39903,0.85785,0.000703,0.000703,0.000703
8,1081.48,0.66164,0.56845,0.99155,0.9834,0.97802,0.99302,0.85395,0.59749,0.39016,0.86564,0.0006535,0.0006535,0.0006535
9,1217.77,0.66367,0.56741,0.99051,0.98112,0.98311,0.99233,0.83968,0.63698,0.37175,0.86995,0.000604,0.000604,0.000604
10,1424.44,0.6315,0.54205,0.98341,0.99062,0.98292,0.99461,0.85009,0.63513,0.38794,0.88038,0.0005545,0.0005545,0.0005545
11,1558.23,0.63091,0.44825,0.95882,0.97677,0.98845,0.99429,0.84926,0.61887,0.35629,0.86828,0.000505,0.000505,0.000505
12,1692.61,0.61713,0.39341,0.95115,0.99395,0.99018,0.99348,0.85769,0.5667,0.31496,0.85005,0.0004555,0.0004555,0.0004555
13,1826.75,0.59744,0.36219,0.94373,0.99511,0.99303,0.99493,0.87687,0.49934,0.2952,0.82409,0.000406,0.000406,0.000406
14,1961.54,0.56796,0.32452,0.93344,0.99617,0.9948,0.99498,0.86759,0.56692,0.27258,0.8425,0.0003565,0.0003565,0.0003565
15,2096.34,0.55702,0.30188,0.93741,0.99441,0.99375,0.99468,0.8784,0.52167,0.268,0.82786,0.000307,0.000307,0.000307
16,2230.34,0.53747,0.29002,0.93009,0.99078,0.98784,0.99458,0.87855,0.52964,0.26879,0.83189,0.0002575,0.0002575,0.0002575
17,2363.77,0.50934,0.27024,0.92087,0.9966,0.99555,0.99492,0.88797,0.49433,0.23889,0.81804,0.000208,0.000208,0.000208
18,2497.21,0.52839,0.26299,0.929,0.99766,0.9923,0.99498,0.88834,0.52222,0.24133,0.82334,0.0001585,0.0001585,0.0001585
19,2630.48,0.50718,0.25857,0.91194,0.99907,0.9933,0.99499,0.89088,0.51372,0.23261,0.82243,0.000109,0.000109,0.000109
20,2763.03,0.49227,0.24339,0.91318,0.99777,0.99426,0.995,0.90851,0.44699,0.2133,0.8037,5.95e-05,5.95e-05,5.95e-05
