epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.932,0.96558,1.59896,1.08197,0.80887,0.75804,0.88434,0.54321,1.3327,1.442,1.22481,0.067264,0.000330667,0.000330667
2,257.923,0.80328,0.89983,1.01922,0.86045,0.89531,0.95945,0.74087,0.86835,0.83505,1.00188,0.0342311,0.000631132,0.000631132
3,387.806,0.80804,0.78522,1.03112,0.94807,0.92623,0.97847,0.8169,0.67842,0.58654,0.89053,0.00116526,0.000898597,0.000898597
4,518.656,0.73155,0.71454,1.01049,0.97409,0.9226,0.96972,0.67965,1.08046,0.61573,1.13986,0.0008515,0.0008515,0.0008515
5,654.054,0.71907,0.6612,1.00145,0.84952,0.9642,0.97303,0.80641,0.70512,0.65513,0.89915,0.000802,0.000802,0.000802
6,783.653,0.6892,0.60371,0.99037,0.97563,0.9698,0.98768,0.87045,0.52938,0.43586,0.83785,0.0007525,0.0007525,0.0007525
7,914.539,0.67328,0.58332,0.98697,0.97084,0.96625,0.98926,0.82514,0.68417,0.44511,0.88472,0.000703,0.000703,0.000703
8,1050.02,0.64586,0.54224,0.9831,0.95959,0.95164,0.99132,0.86079,0.60391,0.41768,0.86926,0.0006535,0.0006535,0.0006535
9,1181.43,0.63701,0.53082,0.97852,0.98466,0.97928,0.988,0.85377,0.61742,0.37378,0.85958,0.000604,0.000604,0.000604
10,1313.89,0.63158,0.52634,0.97981,0.9806,0.97781,0.98249,0.86332,0.56258,0.37352,0.84786,0.0005545,0.0005545,0.0005545
11,1444.3,0.60649,0.43928,0.959,0.98679,0.96974,0.99361,0.86318,0.57729,0.36904,0.85364,0.000505,0.000505,0.000505
12,1575.6,0.60649,0.37769,0.94844,0.99182,0.98851,0.99473,0.86422,0.55838,0.34183,0.84297,0.0004555,0.0004555,0.0004555
13,1705.76,0.58616,0.35639,0.93989,0.98229,0.97605,0.99351,0.88286,0.51794,0.32423,0.82585,0.000406,0.000406,0.000406
14,1847.28,0.56923,0.3222,0.93748,0.98733,0.97061,0.98921,0.88134,0.49994,0.3038,0.82408,0.0003565,0.0003565,0.0003565
15,1977.99,0.55569,0.30243,0.93665,0.98969,0.98459,0.9948,0.86298,0.59729,0.2957,0.84665,0.000307,0.000307,0.000307
16,2108.44,0.54692,0.28719,0.93707,0.99114,0.99208,0.99488,0.89039,0.5147,0.25999,0.82895,0.0002575,0.0002575,0.0002575
17,2240.35,0.5107,0.27546,0.91918,0.98953,0.99237,0.99258,0.90356,0.45889,0.24927,0.8094,0.000208,0.000208,0.000208
18,2371.86,0.49864,0.2556,0.91637,0.99689,0.99488,0.99497,0.89866,0.47686,0.23225,0.8123,0.0001585,0.0001585,0.0001585
19,2503.84,0.49159,0.24744,0.90999,0.99789,0.99531,0.99468,0.88627,0.5216,0.23545,0.825,0.000109,0.000109,0.000109
20,2635.09,0.50044,0.23924,0.91615,0.99661,0.99772,0.99499,0.90386,0.45914,0.21702,0.80596,5.95e-05,5.95e-05,5.95e-05
