epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8486,0.97109,2.46246,1.18337,0.68224,0.54564,0.75156,0.54421,0.97604,2.09114,1.10404,0.000408333,0.000408333,0.000408333
2,154.549,0.90884,1.26053,1.1476,0.89766,0.87777,0.95752,0.71667,0.91313,1.39954,1.09025,0.000743325,0.000743325,0.000743325
3,234.091,0.86933,1.07482,1.12786,0.92203,0.90469,0.95676,0.69446,0.9793,1.0181,1.14884,0.000995817,0.000995817,0.000995817
4,316.552,0.85315,1.01169,1.10202,0.94162,0.94106,0.97105,0.74517,0.89501,1.2835,1.03626,0.00087875,0.00087875,0.00087875
5,396.107,0.77154,0.8854,1.0467,0.96416,0.95265,0.97154,0.78015,0.76283,0.7948,0.95779,0.000755,0.000755,0.000755
6,485.787,0.77537,0.79211,1.05208,0.95923,0.95545,0.97101,0.77067,0.77534,0.77046,0.96725,0.00063125,0.00063125,0.00063125
7,573.556,0.71985,0.76283,1.03051,0.95231,0.95317,0.97563,0.8071,0.70523,0.7085,0.93011,0.0005075,0.0005075,0.0005075
8,661.429,0.66197,0.70519,0.9791,0.97344,0.96966,0.97871,0.80822,0.68766,0.68597,0.92228,0.00038375,0.00038375,0.00038375
9,750.579,0.66042,0.67177,0.96145,0.97153,0.97543,0.97384,0.79747,0.69215,0.66501,0.92568,0.00026,0.00026,0.00026
10,834.743,0.60002,0.6393,0.95933,0.9739,0.98077,0.97907,0.81278,0.6604,0.6216,0.91292,0.00013625,0.00013625,0.00013625
