epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.627,0.93494,2.83306,1.20299,0.01031,1,0.3716,0.26644,0.93041,2.50772,1.06937,0.067264,0.000330667,0.000330667
2,250.564,0.82823,2.01284,1.06909,0.70049,0.68278,0.71925,0.55897,0.86978,1.5785,1.0137,0.0341983,0.000598264,0.000598264
3,373.741,0.74234,1.29864,1.01442,0.95977,0.92,0.969,0.77537,0.73651,0.97416,0.93919,0.00106653,0.000799861,0.000799861
4,499.126,0.68268,0.92045,0.98386,0.96629,0.96026,0.98006,0.79441,0.7143,0.85298,0.92156,0.000703,0.000703,0.000703
5,624.184,0.64652,0.81255,0.96038,0.97784,0.97082,0.98376,0.81652,0.66151,0.77504,0.89589,0.000604,0.000604,0.000604
6,750.02,0.62162,0.7465,0.95151,0.97775,0.97066,0.98662,0.83414,0.614,0.7292,0.87722,0.000505,0.000505,0.000505
7,875.415,0.58685,0.68637,0.93752,0.98174,0.98007,0.98768,0.83346,0.62838,0.68832,0.87691,0.000406,0.000406,0.000406
8,1001.77,0.58374,0.67513,0.93889,0.97109,0.97544,0.98877,0.84943,0.57532,0.66984,0.85915,0.000307,0.000307,0.000307
9,1129.25,0.56407,0.64547,0.93266,0.98418,0.97288,0.99014,0.85522,0.56618,0.64269,0.85349,0.000208,0.000208,0.000208
10,1257.17,0.55652,0.63801,0.93085,0.9821,0.97879,0.99096,0.85734,0.55661,0.63419,0.85012,0.000109,0.000109,0.000109
