epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.066,0.85718,1.08992,1.06839,0.95737,0.94985,0.9691,0.75311,0.81437,0.68367,0.98241,0.067132,0.000332,0.000332
2,318.983,0.77048,0.62862,1.00545,0.95182,0.90762,0.9677,0.77058,0.78675,0.64484,0.97136,0.0340661,0.000599465,0.000599465
3,476.797,0.72291,0.56098,0.99302,0.97421,0.97083,0.9848,0.82305,0.65792,0.48885,0.90384,0.000934264,0.000800931,0.000800931
4,635.208,0.7069,0.49704,0.98395,0.97078,0.95198,0.97788,0.81211,0.66952,0.50076,0.89629,0.000703,0.000703,0.000703
5,778.946,0.66762,0.45917,0.96852,0.98711,0.9843,0.99279,0.82586,0.69837,0.46742,0.90551,0.000604,0.000604,0.000604
6,928.878,0.65113,0.39533,0.95932,0.99153,0.99386,0.99487,0.8433,0.62887,0.43475,0.87743,0.000505,0.000505,0.000505
7,1093.65,0.61434,0.36629,0.94411,0.99216,0.99353,0.99403,0.8356,0.66157,0.40539,0.89185,0.000406,0.000406,0.000406
8,1277.3,0.58399,0.33861,0.93721,0.9936,0.99422,0.99479,0.84773,0.60556,0.36938,0.86771,0.000307,0.000307,0.000307
9,1436.01,0.57704,0.31587,0.93615,0.99317,0.997,0.99444,0.86785,0.55626,0.35998,0.84762,0.000208,0.000208,0.000208
10,1579.46,0.55658,0.29887,0.93012,0.99815,0.99569,0.995,0.86089,0.58898,0.35568,0.8581,0.000109,0.000109,0.000109
