epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.15,1.16241,3.01404,1.33449,0.39129,0.1125,0.29858,0.21958,0.92169,2.61175,1.09171,0.067132,0.000332,0.000332
2,283.446,0.96172,2.30639,1.13309,0.2965,0.8285,0.49493,0.38562,0.81542,2.09647,0.99288,0.0340991,0.000632399,0.000632399
3,457.517,0.88841,1.83853,1.07074,0.75837,0.7774,0.81863,0.66493,0.71021,1.6349,0.93452,0.00103313,0.000899799,0.000899799
4,592.242,0.80886,1.48776,1.02975,0.93264,0.90645,0.95829,0.78855,0.69091,1.23623,0.92158,0.0008515,0.0008515,0.0008515
5,726.568,0.7601,1.22301,1.00954,0.97105,0.94745,0.97584,0.81835,0.60813,1.07775,0.88252,0.000802,0.000802,0.000802
6,862.155,0.73064,1.06924,0.99733,0.96994,0.97033,0.9779,0.83391,0.59324,1.01564,0.87147,0.0007525,0.0007525,0.0007525
7,996.711,0.70712,1.01498,0.99053,0.97321,0.97477,0.98167,0.83417,0.61341,0.96694,0.87667,0.000703,0.000703,0.000703
8,1134.47,0.67714,0.93284,0.98592,0.97916,0.97614,0.98104,0.84695,0.56253,0.91513,0.8591,0.0006535,0.0006535,0.0006535
9,1273.16,0.67259,0.90075,0.98359,0.9771,0.97802,0.98205,0.86182,0.52338,0.8901,0.84602,0.000604,0.000604,0.000604
10,1410.79,0.65243,0.87447,0.97854,0.97777,0.97771,0.984,0.85877,0.5322,0.87209,0.84742,0.0005545,0.0005545,0.0005545
11,1551.04,0.61141,1.06818,0.96582,0.97829,0.9765,0.98698,0.86028,0.53671,0.94456,0.8429,0.000505,0.000505,0.000505
12,1685.47,0.59165,0.94303,0.94286,0.98151,0.97907,0.99047,0.86207,0.53023,0.91252,0.84311,0.0004555,0.0004555,0.0004555
13,1821.64,0.5806,0.88007,0.93862,0.98159,0.98719,0.99254,0.86459,0.53034,0.86219,0.83903,0.000406,0.000406,0.000406
14,1958.2,0.56988,0.84758,0.93789,0.98378,0.98285,0.99311,0.87219,0.51456,0.84626,0.83328,0.0003565,0.0003565,0.0003565
15,2095.19,0.56079,0.80498,0.93438,0.9886,0.98365,0.99397,0.87694,0.51843,0.79496,0.83182,0.000307,0.000307,0.000307
16,2233.34,0.54045,0.77512,0.93293,0.99304,0.98855,0.99462,0.88549,0.49098,0.75909,0.82432,0.0002575,0.0002575,0.0002575
17,2369.7,0.53317,0.74907,0.92538,0.99314,0.99107,0.99474,0.88142,0.50047,0.74449,0.82715,0.000208,0.000208,0.000208
18,2506.56,0.52371,0.72366,0.91989,0.99536,0.99055,0.9949,0.88907,0.48428,0.7221,0.82128,0.0001585,0.0001585,0.0001585
19,2643.49,0.52133,0.71494,0.91577,0.99468,0.98913,0.99474,0.89093,0.47452,0.71502,0.81937,0.000109,0.000109,0.000109
20,2783.58,0.53686,0.71922,0.92789,0.98909,0.9915,0.99471,0.8876,0.47728,0.71605,0.81946,5.95e-05,5.95e-05,5.95e-05
